,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46541,46541,Indian Institute of Technology Bombay,Aerospace Engineering,AI,EWS,Gender-Neutral,236,496,6,4,Bachelor of Technology,1,Maharashtra
46542,46542,Indian Institute of Technology Bombay,Aerospace Engineering,AI,EWS,Female-only (including Supernumerary),1220,1325,6,4,Bachelor of Technology,1,Maharashtra
46543,46543,Indian Institute of Technology Bombay,Aerospace Engineering,AI,OBC-NCL,Gender-Neutral,698,1211,6,4,Bachelor of Technology,1,Maharashtra
46544,46544,Indian Institute of Technology Bombay,Aerospace Engineering,AI,OBC-NCL,Female-only (including Supernumerary),2993,3680,6,4,Bachelor of Technology,1,Maharashtra
46545,46545,Indian Institute of Technology Bombay,Aerospace Engineering,AI,OBC-NCL (PwD),Gender-Neutral,14P,14P,6,4,Bachelor of Technology,1,Maharashtra
46546,46546,Indian Institute of Technology Bombay,Aerospace Engineering,AI,SC,Gender-Neutral,275,726,6,4,Bachelor of Technology,1,Maharashtra
46547,46547,Indian Institute of Technology Bombay,Aerospace Engineering,AI,SC,Female-only (including Supernumerary),470,1141,6,4,Bachelor of Technology,1,Maharashtra
46548,46548,Indian Institute of Technology Bombay,Aerospace Engineering,AI,SC (PwD),Gender-Neutral,8P,8P,6,4,Bachelor of Technology,1,Maharashtra
46549,46549,Indian Institute of Technology Bombay,Aerospace Engineering,AI,ST,Gender-Neutral,317,396,6,4,Bachelor of Technology,1,Maharashtra
46550,46550,Indian Institute of Technology Bombay,Aerospace Engineering,AI,ST,Female-only (including Supernumerary),231,231,6,4,Bachelor of Technology,1,Maharashtra
46551,46551,Indian Institute of Technology Kanpur,Mathematics and Scientific Computing,AI,GEN,Gender-Neutral,610,1143,6,4,Bachelor of Science,1,Uttar Pradesh
46552,46552,Indian Institute of Technology Bombay,BS in Mathematics,AI,GEN,Female-only (including Supernumerary),1248,3895,6,4,Bachelor of Science,1,Maharashtra
46553,46553,Indian Institute of Technology Bombay,BS in Mathematics,AI,EWS,Gender-Neutral,372,564,6,4,Bachelor of Science,1,Maharashtra
46554,46554,Indian Institute of Technology Bombay,BS in Mathematics,AI,OBC-NCL,Gender-Neutral,1372,2029,6,4,Bachelor of Science,1,Maharashtra
46555,46555,Indian Institute of Technology Bombay,BS in Mathematics,AI,OBC-NCL,Female-only (including Supernumerary),1924,1924,6,4,Bachelor of Science,1,Maharashtra
46556,46556,Indian Institute of Technology Bombay,BS in Mathematics,AI,SC,Gender-Neutral,548,742,6,4,Bachelor of Science,1,Maharashtra
46557,46557,Indian Institute of Technology Bombay,BS in Mathematics,AI,SC,Female-only (including Supernumerary),2391,2391,6,4,Bachelor of Science,1,Maharashtra
46558,46558,Indian Institute of Technology Bombay,BS in Mathematics,AI,ST,Gender-Neutral,427,427,6,4,Bachelor of Science,1,Maharashtra
46559,46559,Indian Institute of Technology Kharagpur,Electronics and Electrical Communication Engineering,AI,GEN,Gender-Neutral,434,1145,6,4,Bachelor of Technology,1,West Bengal
